,Date_YMD,Date_Hour,Presence or absence of a person,Accumulation of accidents
495,2021-01-21,15:00,0,4
496,2021-01-21,16:00,1,5
497,2021-01-21,17:00,0,5
498,2021-01-21,18:00,0,5
499,2021-01-21,19:00,0,5
500,2021-01-21,20:00,0,5
501,2021-01-21,21:00,1,6
502,2021-01-21,22:00,1,7
503,2021-01-21,23:00,0,7
504,2021-01-22,0:00,0,0
505,2021-01-22,1:00,1,1
506,2021-01-22,2:00,0,1
507,2021-01-22,3:00,0,1
508,2021-01-22,4:00,0,1
509,2021-01-22,5:00,1,2
510,2021-01-22,6:00,0,2
511,2021-01-22,7:00,0,2
512,2021-01-22,8:00,0,2
513,2021-01-22,9:00,0,2
514,2021-01-22,10:00,1,3
515,2021-01-22,11:00,1,4
516,2021-01-22,12:00,0,4
517,2021-01-22,13:00,1,5
518,2021-01-22,14:00,0,5
519,2021-01-22,15:00,1,6
520,2021-01-22,16:00,0,6
521,2021-01-22,17:00,0,6
522,2021-01-22,18:00,0,6
523,2021-01-22,19:00,0,6
524,2021-01-22,20:00,1,7
525,2021-01-22,21:00,1,8
526,2021-01-22,22:00,0,8
527,2021-01-22,23:00,0,8
528,2021-01-23,0:00,0,0
529,2021-01-23,1:00,0,0
530,2021-01-23,2:00,0,0
531,2021-01-23,3:00,1,1
532,2021-01-23,4:00,0,1
533,2021-01-23,5:00,0,1
534,2021-01-23,6:00,0,1
535,2021-01-23,7:00,1,2
536,2021-01-23,8:00,0,2
537,2021-01-23,9:00,0,2
538,2021-01-23,10:00,0,2
539,2021-01-23,11:00,1,3
540,2021-01-23,12:00,0,3
541,2021-01-23,13:00,1,4
542,2021-01-23,14:00,0,4
543,2021-01-23,15:00,0,4
544,2021-01-23,16:00,0,4
545,2021-01-23,17:00,0,4
546,2021-01-23,18:00,1,5
547,2021-01-23,19:00,0,5
548,2021-01-23,20:00,1,6
549,2021-01-23,21:00,1,7
550,2021-01-23,22:00,0,7
551,2021-01-23,23:00,1,8
552,2021-01-24,0:00,0,0
553,2021-01-24,1:00,0,0
554,2021-01-24,2:00,0,0
555,2021-01-24,3:00,0,0
556,2021-01-24,4:00,1,1
557,2021-01-24,5:00,1,2
558,2021-01-24,6:00,1,3
559,2021-01-24,7:00,0,3
560,2021-01-24,8:00,1,4
561,2021-01-24,9:00,0,4
562,2021-01-24,10:00,0,4
563,2021-01-24,11:00,0,4
564,2021-01-24,12:00,0,4
565,2021-01-24,13:00,0,4
566,2021-01-24,14:00,0,4
567,2021-01-24,15:00,1,5
568,2021-01-24,16:00,0,5
569,2021-01-24,17:00,0,5
570,2021-01-24,18:00,0,5
571,2021-01-24,19:00,0,5
572,2021-01-24,20:00,0,5
573,2021-01-24,21:00,0,5
574,2021-01-24,22:00,1,6
575,2021-01-24,23:00,1,7
576,2021-01-25,0:00,1,1
577,2021-01-25,1:00,0,1
578,2021-01-25,2:00,0,1
579,2021-01-25,3:00,0,1
580,2021-01-25,4:00,1,2
581,2021-01-25,5:00,1,3
582,2021-01-25,6:00,0,3
583,2021-01-25,7:00,1,4
584,2021-01-25,8:00,0,4
585,2021-01-25,9:00,1,5
586,2021-01-25,10:00,0,5
587,2021-01-25,11:00,1,6
588,2021-01-25,12:00,0,6
589,2021-01-25,13:00,0,6
590,2021-01-25,14:00,0,6
591,2021-01-25,15:00,1,7
592,2021-01-25,16:00,0,7
593,2021-01-25,17:00,0,7
594,2021-01-25,18:00,0,7
595,2021-01-25,19:00,0,7
596,2021-01-25,20:00,0,7
597,2021-01-25,21:00,0,7
598,2021-01-25,22:00,1,8
599,2021-01-25,23:00,0,8
600,2021-01-26,0:00,0,0
601,2021-01-26,1:00,1,1
602,2021-01-26,2:00,1,2
603,2021-01-26,3:00,0,2
604,2021-01-26,4:00,0,2
605,2021-01-26,5:00,1,3
606,2021-01-26,6:00,1,4
607,2021-01-26,7:00,0,4
608,2021-01-26,8:00,1,5
609,2021-01-26,9:00,1,6
610,2021-01-26,10:00,0,6
611,2021-01-26,11:00,0,6
612,2021-01-26,12:00,1,7
613,2021-01-26,13:00,0,7
614,2021-01-26,14:00,0,7
615,2021-01-26,15:00,0,7
616,2021-01-26,16:00,0,7
617,2021-01-26,17:00,1,8
618,2021-01-26,18:00,1,9
619,2021-01-26,19:00,0,9
620,2021-01-26,20:00,0,9
621,2021-01-26,21:00,1,10
622,2021-01-26,22:00,0,10
623,2021-01-26,23:00,0,10
624,2021-01-27,0:00,0,0
625,2021-01-27,1:00,0,0
626,2021-01-27,2:00,1,1
627,2021-01-27,3:00,0,1
628,2021-01-27,4:00,0,1
629,2021-01-27,5:00,1,2
630,2021-01-27,6:00,0,2
631,2021-01-27,7:00,0,2
632,2021-01-27,8:00,0,2
633,2021-01-27,9:00,0,2
634,2021-01-27,10:00,0,2
635,2021-01-27,11:00,0,2
636,2021-01-27,12:00,0,2
637,2021-01-27,13:00,0,2
638,2021-01-27,14:00,0,2
639,2021-01-27,15:00,0,2
640,2021-01-27,16:00,1,3
641,2021-01-27,17:00,0,3
642,2021-01-27,18:00,0,3
643,2021-01-27,19:00,0,3
644,2021-01-27,20:00,1,4
645,2021-01-27,21:00,0,4
646,2021-01-27,22:00,0,4
647,2021-01-27,23:00,0,4
648,2021-01-28,0:00,0,0
649,2021-01-28,1:00,0,0
650,2021-01-28,2:00,0,0
651,2021-01-28,3:00,1,1
652,2021-01-28,4:00,1,2
653,2021-01-28,5:00,0,2
654,2021-01-28,6:00,0,2
655,2021-01-28,7:00,1,3
656,2021-01-28,8:00,0,3
657,2021-01-28,9:00,0,3
658,2021-01-28,10:00,0,3
659,2021-01-28,11:00,0,3
660,2021-01-28,12:00,0,3
661,2021-01-28,13:00,1,4
662,2021-01-28,14:00,0,4
663,2021-01-28,15:00,0,4
664,2021-01-28,16:00,0,4
665,2021-01-28,17:00,0,4
666,2021-01-28,18:00,0,4
667,2021-01-28,19:00,1,5
668,2021-01-28,20:00,0,5
669,2021-01-28,21:00,0,5
670,2021-01-28,22:00,0,5
671,2021-01-28,23:00,0,5
672,2021-01-29,0:00,1,1
673,2021-01-29,1:00,0,1
674,2021-01-29,2:00,0,1
675,2021-01-29,3:00,1,2
676,2021-01-29,4:00,1,3
677,2021-01-29,5:00,1,4
678,2021-01-29,6:00,0,4
679,2021-01-29,7:00,1,5
680,2021-01-29,8:00,0,5
681,2021-01-29,9:00,0,5
682,2021-01-29,10:00,0,5
683,2021-01-29,11:00,0,5
684,2021-01-29,12:00,0,5
685,2021-01-29,13:00,0,5
686,2021-01-29,14:00,1,6
687,2021-01-29,15:00,1,7
688,2021-01-29,16:00,0,7
689,2021-01-29,17:00,0,7
690,2021-01-29,18:00,0,7
691,2021-01-29,19:00,1,8
692,2021-01-29,20:00,1,9
693,2021-01-29,21:00,0,9
694,2021-01-29,22:00,0,9
695,2021-01-29,23:00,0,9
696,2021-01-30,0:00,0,0
697,2021-01-30,1:00,0,0
698,2021-01-30,2:00,1,1
699,2021-01-30,3:00,0,1
700,2021-01-30,4:00,0,1
701,2021-01-30,5:00,0,1
702,2021-01-30,6:00,1,2
703,2021-01-30,7:00,0,2
704,2021-01-30,8:00,0,2
705,2021-01-30,9:00,0,2
706,2021-01-30,10:00,1,3
707,2021-01-30,11:00,0,3
708,2021-01-30,12:00,0,3
709,2021-01-30,13:00,0,3
710,2021-01-30,14:00,1,4
711,2021-01-30,15:00,0,4
712,2021-01-30,16:00,1,5
713,2021-01-30,17:00,1,6
714,2021-01-30,18:00,0,6
715,2021-01-30,19:00,0,6
716,2021-01-30,20:00,0,6
717,2021-01-30,21:00,1,7
718,2021-01-30,22:00,0,7
719,2021-01-30,23:00,0,7
720,2021-01-31,0:00,0,0
721,2021-01-31,1:00,0,0
722,2021-01-31,2:00,0,0
723,2021-01-31,3:00,0,0
724,2021-01-31,4:00,0,0
725,2021-01-31,5:00,0,0
726,2021-01-31,6:00,1,1
727,2021-01-31,7:00,0,1
728,2021-01-31,8:00,0,1
729,2021-01-31,9:00,0,1
730,2021-01-31,10:00,1,2
731,2021-01-31,11:00,0,2
732,2021-01-31,12:00,0,2
733,2021-01-31,13:00,0,2
734,2021-01-31,14:00,0,2
735,2021-01-31,15:00,1,3
736,2021-01-31,16:00,0,3
737,2021-01-31,17:00,0,3
738,2021-01-31,18:00,0,3
739,2021-01-31,19:00,0,3
740,2021-01-31,20:00,0,3
741,2021-01-31,21:00,0,3
742,2021-01-31,22:00,0,3
743,2021-01-31,23:00,1,4
744,2021-02-01,0:00,0,0
745,2021-02-01,1:00,0,0
746,2021-02-01,2:00,1,1
747,2021-02-01,3:00,1,2
748,2021-02-01,4:00,0,2
749,2021-02-01,5:00,0,2
750,2021-02-01,6:00,1,3
751,2021-02-01,7:00,1,4
752,2021-02-01,8:00,0,4
753,2021-02-01,9:00,0,4
754,2021-02-01,10:00,0,4
755,2021-02-01,11:00,1,5
756,2021-02-01,12:00,0,5
757,2021-02-01,13:00,1,6
758,2021-02-01,14:00,1,7
759,2021-02-01,15:00,0,7
760,2021-02-01,16:00,1,8
761,2021-02-01,17:00,0,8
762,2021-02-01,18:00,0,8
763,2021-02-01,19:00,0,8
764,2021-02-01,20:00,0,8
765,2021-02-01,21:00,1,9
766,2021-02-01,22:00,0,9
767,2021-02-01,23:00,0,9
768,2021-02-02,0:00,0,0
769,2021-02-02,1:00,0,0
770,2021-02-02,2:00,0,0
771,2021-02-02,3:00,0,0
772,2021-02-02,4:00,0,0
773,2021-02-02,5:00,1,1
774,2021-02-02,6:00,0,1
775,2021-02-02,7:00,0,1
776,2021-02-02,8:00,0,1
777,2021-02-02,9:00,0,1
778,2021-02-02,10:00,0,1
779,2021-02-02,11:00,0,1
780,2021-02-02,12:00,0,1
781,2021-02-02,13:00,0,1
782,2021-02-02,14:00,0,1
783,2021-02-02,15:00,0,1
784,2021-02-02,16:00,1,2
785,2021-02-02,17:00,0,2
786,2021-02-02,18:00,1,3
787,2021-02-02,19:00,0,3
788,2021-02-02,20:00,1,4
789,2021-02-02,21:00,0,4
790,2021-02-02,22:00,1,5
791,2021-02-02,23:00,0,5
792,2021-02-03,0:00,1,1
793,2021-02-03,1:00,1,2
794,2021-02-03,2:00,0,2
795,2021-02-03,3:00,0,2
796,2021-02-03,4:00,0,2
797,2021-02-03,5:00,0,2
798,2021-02-03,6:00,1,3
799,2021-02-03,7:00,0,3
800,2021-02-03,8:00,0,3
801,2021-02-03,9:00,0,3
802,2021-02-03,10:00,0,3
803,2021-02-03,11:00,0,3
804,2021-02-03,12:00,0,3
805,2021-02-03,13:00,0,3
806,2021-02-03,14:00,0,3
807,2021-02-03,15:00,0,3
808,2021-02-03,16:00,0,3
809,2021-02-03,17:00,1,4
810,2021-02-03,18:00,1,5
811,2021-02-03,19:00,0,5
812,2021-02-03,20:00,0,5
813,2021-02-03,21:00,1,6
814,2021-02-03,22:00,0,6
815,2021-02-03,23:00,0,6
816,2021-02-04,0:00,0,0
817,2021-02-04,1:00,0,0
818,2021-02-04,2:00,0,0
